CUENTA : 8328	 RFC INCORRECTO 
CUENTA : 2741	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2749	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2764	 EL ESTADO NO ES VALIDO
CUENTA : 2814	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2859	 EL ESTADO NO ES VALIDO
CUENTA : 2879	 EL ESTADO NO ES VALIDO
CUENTA : 2893	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 2912	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2916	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 2918	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2921	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 2936	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2938	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2952	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2980	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 2986	 EL RFC NO ES VALIDO
CUENTA : 2989	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3012	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3017	 EL ESTADO NO ES VALIDO
CUENTA : 3079	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 3093	 EL ESTADO NO ES VALIDO
CUENTA : 3097	 EL ESTADO NO ES VALIDO
CUENTA : 3106	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3117	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3128	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3139	 NOMBRE NO ES VALIDO
CUENTA : 3163	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 3170	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3180	 EL ESTADO NO ES VALIDO
CUENTA : 3194	 EL RFC NO ES VALIDO
CUENTA : 3200	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3206	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3217	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 3221	 NOMBRE NO ES VALIDO
CUENTA : 3225	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 3243	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 3251	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 3263	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 3284	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 3296	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 3297	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 3303	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 3304	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 3311	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3314	 NOMBRE NO ES VALIDO
CUENTA : 3317	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3324	 EL ESTADO NO ES VALIDO
CUENTA : 3363	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 3368	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3373	 EL ESTADO NO ES VALIDO
CUENTA : 3381	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 3390	 NOMBRE NO ES VALIDO
CUENTA : 3413	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 3456	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 3475	 EL ESTADO NO ES VALIDO
CUENTA : 3519	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 3533	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 3541	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 3551	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3564	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3579	 EL RFC NO ES VALIDO
CUENTA : 3581	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 3585	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3619	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 3637	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 3647	 NOMBRE NO ES VALIDO
CUENTA : 3654	 EL RFC NO ES VALIDO
CUENTA : 3661	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 3694	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3702	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3705	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3707	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3725	 EL CAMPO FECHA DE APERTURA DE CUENTA ESTA VACIO
CUENTA : 3726	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 3758	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3760	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3769	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 3791	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3795	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3800	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 3808	 EL ESTADO NO ES VALIDO
CUENTA : 3817	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3833	 EL ESTADO NO ES VALIDO
CUENTA : 3835	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3838	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3846	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3847	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3852	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3860	 EL ESTADO NO ES VALIDO
CUENTA : 3866	 EL RFC NO ES VALIDO
CUENTA : 3883	 EL ESTADO NO ES VALIDO
CUENTA : 3886	 EL ESTADO NO ES VALIDO
CUENTA : 3887	 EL RFC NO ES VALIDO
CUENTA : 3904	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3912	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3945	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3971	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3977	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 3981	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 3992	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 3997	 EL ESTADO NO ES VALIDO
CUENTA : 3999	 EL ESTADO NO ES VALIDO
CUENTA : 4010	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4012	 EL RFC NO ES VALIDO
CUENTA : 4059	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 4061	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4062	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 4065	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 4071	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 4073	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 4082	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4088	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 4094	 EL ESTADO NO ES VALIDO
CUENTA : 4100	 EL ESTADO NO ES VALIDO
CUENTA : 4105	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 4110	 EL RFC NO ES VALIDO
CUENTA : 4118	 EL CAMPO FECHA ULTIMO PAGO ESTA VACIO
CUENTA : 4145	 EL CAMPO FECHA DE APERTURA DE CUENTA ESTA VACIO
CUENTA : 4148	 EL ESTADO NO ES VALIDO
CUENTA : 4152	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4167	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4170	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4174	 EL ESTADO NO ES VALIDO
CUENTA : 4175	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 4199	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 4204	 EL RFC NO ES VALIDO
CUENTA : 4261	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4268	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 4274	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4288	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4320	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4331	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4380	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4382	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 4409	 EL ESTADO NO ES VALIDO
CUENTA : 4428	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 4431	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 4445	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4450	 EL ESTADO NO ES VALIDO
CUENTA : 4474	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4481	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 4504	 EL ESTADO NO ES VALIDO
CUENTA : 4506	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 4513	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 4515	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4533	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4546	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 4547	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 4552	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4562	 EL ESTADO NO ES VALIDO
CUENTA : 4572	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4587	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4593	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4601	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4607	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 4621	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 4624	 EL ESTADO NO ES VALIDO
CUENTA : 4640	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4650	 EL ESTADO NO ES VALIDO
CUENTA : 4700	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 4702	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4795	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 4815	 EL ESTADO NO ES VALIDO
CUENTA : 4816	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 4817	 EL ESTADO NO ES VALIDO
CUENTA : 4850	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4875	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 4880	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 4882	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4894	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4896	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 4898	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 4923	 EL ESTADO NO ES VALIDO
CUENTA : 4978	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4990	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 4994	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 5005	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 5019	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 5029	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 5037	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 5038	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 5050	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 5051	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 5072	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 5074	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 5089	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 5119	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 5129	 EL ESTADO NO ES VALIDO
CUENTA : 5130	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 5179	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 5185	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 5216	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 5257	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 5265	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 5270	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 5272	 EL RFC NO ES VALIDO
CUENTA : 5281	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 5305	 EL ESTADO NO ES VALIDO
CUENTA : 5320	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 5338	 EL CAMPO FECHA DE APERTURA DE CUENTA ESTA VACIO
CUENTA : 5339	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 5340	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 5341	 NOMBRE NO ES VALIDO
CUENTA : 5342	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 5381	 EL ESTADO NO ES VALIDO
CUENTA : 5398	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 5404	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 5405	 EL ESTADO NO ES VALIDO
CUENTA : 5407	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 5412	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 5436	 EL ESTADO NO ES VALIDO
CUENTA : 5442	 EL ESTADO NO ES VALIDO
CUENTA : 5463	 NOMBRE NO ES VALIDO
CUENTA : 5468	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 5476	 EL ESTADO NO ES VALIDO
CUENTA : 5490	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 5523	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 5548	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 5567	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 5574	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 5586	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 5591	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 5599	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 5612	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 5635	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 5647	 EL ESTADO NO ES VALIDO
CUENTA : 5657	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 5694	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 5698	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 5754	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 5768	 EL ESTADO NO ES VALIDO
CUENTA : 5781	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 5785	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 5787	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 5791	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 5808	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 5810	 EL ESTADO NO ES VALIDO
CUENTA : 5814	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 5911	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 5916	 EL ESTADO NO ES VALIDO
CUENTA : 5938	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 5948	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 5963	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 5997	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6001	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 6005	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 6028	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6031	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 6034	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6062	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 6063	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 6065	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 6071	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6097	 EL ESTADO NO ES VALIDO
CUENTA : 6102	 EL ESTADO NO ES VALIDO
CUENTA : 6105	 EL ESTADO NO ES VALIDO
CUENTA : 6127	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6138	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6139	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 6179	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 6180	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 6181	 EL ESTADO NO ES VALIDO
CUENTA : 6194	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 6195	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 6214	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6216	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6225	 EL ESTADO NO ES VALIDO
CUENTA : 6257	 EL ESTADO NO ES VALIDO
CUENTA : 6271	 EL ESTADO NO ES VALIDO
CUENTA : 6281	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6284	 EL ESTADO NO ES VALIDO
CUENTA : 6285	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 6289	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 6298	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 6322	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 6329	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 6343	 NOMBRE NO ES VALIDO
CUENTA : 6357	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 6374	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6412	 EL RFC NO ES VALIDO
CUENTA : 6414	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 6426	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6453	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 6477	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 6505	 EL ESTADO NO ES VALIDO
CUENTA : 6520	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 6536	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 6588	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6608	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6613	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6615	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 6635	 EL ESTADO NO ES VALIDO
CUENTA : 6644	 EL ESTADO NO ES VALIDO
CUENTA : 6650	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 6690	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 6699	 EL RFC NO ES VALIDO
CUENTA : 6701	 EL ESTADO NO ES VALIDO
CUENTA : 6715	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6734	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6774	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 6776	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6778	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6800	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 6815	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 6819	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6829	 EL ESTADO NO ES VALIDO
CUENTA : 6832	 EL ESTADO NO ES VALIDO
CUENTA : 6841	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6848	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6861	 EL ESTADO NO ES VALIDO
CUENTA : 6862	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 6869	 EL ESTADO NO ES VALIDO
CUENTA : 6880	 EL ESTADO NO ES VALIDO
CUENTA : 6892	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 6897	 EL ESTADO NO ES VALIDO
CUENTA : 6913	 EL ESTADO NO ES VALIDO
CUENTA : 6924	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6935	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6938	 EL ESTADO NO ES VALIDO
CUENTA : 6955	 NOMBRE NO ES VALIDO
CUENTA : 6962	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 6970	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6971	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6978	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 6980	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 6984	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7002	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7010	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 7018	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7030	 EL CAMPO FECHA DE APERTURA DE CUENTA ESTA VACIO
CUENTA : 7039	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 7041	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7088	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 7089	 EL CAMPO FECHA ULTIMO PAGO ESTA VACIO
CUENTA : 7108	 NOMBRE NO ES VALIDO
CUENTA : 7154	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7168	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7178	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 7181	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7188	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 7212	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 7218	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 7232	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7233	 NOMBRE NO ES VALIDO
CUENTA : 7237	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 7245	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7261	 EL ESTADO NO ES VALIDO
CUENTA : 7272	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 7301	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7308	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7309	 NOMBRE NO ES VALIDO
CUENTA : 7313	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 7320	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7331	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7333	 EL ESTADO NO ES VALIDO
CUENTA : 7335	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 7350	 EL ESTADO NO ES VALIDO
CUENTA : 7375	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7383	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 7418	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 7437	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7443	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 7455	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 7479	 EL ESTADO NO ES VALIDO
CUENTA : 7481	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7503	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7516	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7532	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 7534	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 7538	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7546	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7558	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7561	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 7580	 EL ESTADO NO ES VALIDO
CUENTA : 7585	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 7601	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7609	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7611	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7618	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7619	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7635	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7652	 NOMBRE NO ES VALIDO
CUENTA : 7665	 EL RFC NO ES VALIDO
CUENTA : 7668	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7677	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 7691	 NOMBRE NO ES VALIDO
